 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  aringerCkmh_3000_600.inp                                              
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Stellar spectrum supplied from file:
  aringerC_3000_resampled.dat                                           
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  0.000  1.000  0.000  0.000  0.000  0.000
  KMH size distribution:
       Power q:  3.5
  Minimal size: 1.00E-02 microns
  Characteristic size: 1.00E+00 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1546 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 1.83E+04 4.09E+14 1.76E+02 3.05E+00   19   0  1.75E-06 9.99E+00 1.07E+00
   2 1.06E-01 1.82E+04 4.10E+14 1.77E+02 3.06E+00   19   0  1.84E-06 1.01E+01 1.10E+00
   3 1.13E-01 1.80E+04 4.12E+14 1.77E+02 3.07E+00   19   0  1.94E-06 1.02E+01 1.12E+00
   4 1.21E-01 1.79E+04 4.13E+14 1.78E+02 3.08E+00   19   0  2.04E-06 1.02E+01 1.15E+00
   5 1.29E-01 1.78E+04 4.15E+14 1.79E+02 3.09E+00   19   0  2.14E-06 1.03E+01 1.17E+00
   6 1.37E-01 1.77E+04 4.16E+14 1.79E+02 3.11E+00   19   0  2.25E-06 1.04E+01 1.20E+00
   7 1.46E-01 1.75E+04 4.18E+14 1.80E+02 3.12E+00   19   0  2.37E-06 1.04E+01 1.23E+00
   8 1.55E-01 1.74E+04 4.20E+14 1.81E+02 3.13E+00   19   0  2.50E-06 1.05E+01 1.25E+00
   9 1.65E-01 1.72E+04 4.22E+14 1.82E+02 3.15E+00   19   0  2.63E-06 1.06E+01 1.28E+00
  10 1.76E-01 1.70E+04 4.24E+14 1.83E+02 3.16E+00   19   0  2.76E-06 1.06E+01 1.30E+00
  11 1.87E-01 1.69E+04 4.26E+14 1.83E+02 3.18E+00   19   0  2.91E-06 1.07E+01 1.33E+00
  12 1.99E-01 1.67E+04 4.28E+14 1.84E+02 3.19E+00   19   0  3.06E-06 1.07E+01 1.36E+00
  13 2.12E-01 1.65E+04 4.30E+14 1.85E+02 3.21E+00   18   0  3.22E-06 1.08E+01 1.38E+00
  14 2.26E-01 1.63E+04 4.33E+14 1.86E+02 3.23E+00   18   0  3.39E-06 1.08E+01 1.41E+00
  15 2.41E-01 1.61E+04 4.35E+14 1.88E+02 3.25E+00   18   0  3.57E-06 1.08E+01 1.43E+00
  16 2.56E-01 1.59E+04 4.38E+14 1.89E+02 3.27E+00   18   0  3.76E-06 1.08E+01 1.46E+00
  17 2.73E-01 1.57E+04 4.41E+14 1.90E+02 3.29E+00   18   0  3.95E-06 1.09E+01 1.48E+00
  18 2.91E-01 1.55E+04 4.44E+14 1.91E+02 3.31E+00   18   0  4.16E-06 1.09E+01 1.50E+00
  19 3.10E-01 1.53E+04 4.47E+14 1.93E+02 3.33E+00   18   0  4.38E-06 1.09E+01 1.53E+00
  20 3.30E-01 1.51E+04 4.50E+14 1.94E+02 3.36E+00   18   0  4.61E-06 1.08E+01 1.55E+00
  21 3.51E-01 1.49E+04 4.53E+14 1.95E+02 3.38E+00   18   0  4.85E-06 1.08E+01 1.57E+00
  22 3.74E-01 1.46E+04 4.58E+14 1.97E+02 3.42E+00   18   0  5.16E-06 1.09E+01 1.59E+00
  23 3.98E-01 1.43E+04 4.62E+14 1.99E+02 3.44E+00   18   0  5.43E-06 1.08E+01 1.61E+00
  24 4.24E-01 1.41E+04 4.65E+14 2.00E+02 3.47E+00   18   0  5.71E-06 1.08E+01 1.63E+00
  25 4.51E-01 1.39E+04 4.69E+14 2.02E+02 3.50E+00   18   0  6.01E-06 1.07E+01 1.64E+00
  26 4.80E-01 1.37E+04 4.73E+14 2.04E+02 3.53E+00   18   0  6.32E-06 1.07E+01 1.66E+00
  27 5.11E-01 1.34E+04 4.77E+14 2.06E+02 3.56E+00   18   0  6.64E-06 1.06E+01 1.67E+00
  28 5.45E-01 1.32E+04 4.82E+14 2.07E+02 3.59E+00   18   0  6.98E-06 1.05E+01 1.69E+00
  29 5.80E-01 1.29E+04 4.86E+14 2.09E+02 3.63E+00   17   0  7.33E-06 1.04E+01 1.70E+00
  30 6.17E-01 1.27E+04 4.91E+14 2.11E+02 3.66E+00   17   0  7.70E-06 1.03E+01 1.70E+00
  31 6.57E-01 1.25E+04 4.95E+14 2.13E+02 3.69E+00   17   0  8.09E-06 1.02E+01 1.71E+00
  32 7.00E-01 1.22E+04 5.00E+14 2.15E+02 3.73E+00   17   0  8.49E-06 1.01E+01 1.72E+00
  33 7.45E-01 1.20E+04 5.05E+14 2.17E+02 3.77E+00   17   0  8.91E-06 1.00E+01 1.72E+00
  34 7.94E-01 1.18E+04 5.10E+14 2.20E+02 3.80E+00   17   0  9.35E-06 9.88E+00 1.73E+00
  35 8.45E-01 1.15E+04 5.15E+14 2.22E+02 3.84E+00   17   0  9.81E-06 9.75E+00 1.73E+00
  36 9.00E-01 1.13E+04 5.20E+14 2.24E+02 3.88E+00   17   0  1.03E-05 9.61E+00 1.73E+00
  37 9.58E-01 1.11E+04 5.25E+14 2.26E+02 3.92E+00   17   0  1.08E-05 9.47E+00 1.73E+00
  38 1.02E+00 1.09E+04 5.30E+14 2.28E+02 3.96E+00   17   0  1.13E-05 9.32E+00 1.72E+00
